word sentid sentpos wlen surp entropy entred
who 0 0 3 10.729787826538086 2.479736089706421 0
do 0 1 2 10.266837120056152 7.034547328948975 0
n't 0 2 3 23.81546974182129 6.732959747314453 0.3015875816345215
we 0 3 2 9.778875350952148 6.098738193511963 0.6342215538024902
believe 0 4 7 9.504827499389648 6.185760021209717 0
the 0 5 3 10.01614761352539 3.3294472694396973 2.8563127517700195
rumour 0 6 6 12.514907836914062 10.683395385742188 0
that 0 7 4 4.973845481872559 4.515460014343262 6.167935371398926
<unk> 0 8 5 3.2820851802825928 6.620487689971924 0
is 0 9 2 7.7499613761901855 6.20037841796875 0.42010927200317383
dating 0 10 6 16.34290313720703 7.38226842880249 0
? 0 11 1 2.954646110534668 5.3694987297058105 2.0127696990966797
how 1 0 3 12.008362770080566 2.479736089706421 0
does 1 1 4 9.440290451049805 5.876909255981445 0
will 1 2 4 10.269049644470215 7.101769924163818 0
think 1 3 5 10.26408863067627 7.508120536804199 0
that 1 4 4 4.473515510559082 5.376768112182617 2.131352424621582
she 1 5 3 5.728417873382568 6.466289043426514 0
is 1 6 2 6.912398338317871 6.917556285858154 0
dating 1 7 6 14.304588317871094 8.594971656799316 0
someone 1 8 7 12.127206802368164 5.815676689147949 2.779294967651367
who 1 9 3 4.45173978805542 7.593592166900635 0
solves 1 10 6 17.8862361907959 7.222285270690918 0.3713068962097168
? 1 11 1 2.393845796585083 6.617015838623047 0.6052694320678711
what 2 0 4 5.72836971282959 2.479736089706421 0
does 2 1 4 11.052679061889648 6.154409408569336 0
she 2 2 3 6.224137306213379 6.659151554107666 0
believe 2 3 7 11.657976150512695 6.76466703414917 0
the 2 4 3 7.723570346832275 5.952768802642822 0.8118982315063477
rumour 2 5 6 11.906121253967285 10.654397010803223 0
that 2 6 4 4.882865905761719 4.5151214599609375 6.139275550842285
she 2 7 3 5.2845258712768555 6.61759090423584 0
might 2 8 5 9.267776489257812 6.541009902954102 0.07658100128173828
have 2 9 4 5.406262397766113 6.606131553649902 0
this 2 10 4 9.940305709838867 6.503195285797119 0.1029362678527832
year 2 11 4 10.602333068847656 7.521233081817627 0
? 2 12 1 2.3126423358917236 4.83543062210083 2.685802459716797
how 3 0 3 12.008362770080566 2.479736089706421 0
many 3 1 4 7.878756523132324 5.876909255981445 0
cities 3 2 6 10.988984107971191 9.213354110717773 0
does 3 3 4 12.102033615112305 5.333664894104004 3.8796892166137695
he 3 4 2 7.364554405212402 6.04036283493042 0
know 3 5 4 10.362910270690918 6.320532321929932 0
brothers 3 6 8 16.1153564453125 4.087239742279053 2.233292579650879
who 3 7 3 7.593267440795898 5.159356594085693 0
live 3 8 4 9.236760139465332 7.001106262207031 0
in 3 9 2 3.4746837615966797 5.60512113571167 1.3959851264953613
? 3 10 1 2.218142032623291 6.558902263641357 0
who 4 0 3 10.729787826538086 2.479736089706421 0
do 4 1 2 10.266837120056152 7.034547328948975 0
they 4 2 4 7.158716201782227 6.732959747314453 0.3015875816345215
believe 4 3 7 11.3775634765625 6.206529140472412 0.526430606842041
the 4 4 3 8.244973182678223 5.162322044372559 1.0442070960998535
claim 4 5 5 11.517230987548828 10.702165603637695 0
that 4 6 4 3.2055110931396484 5.391669273376465 5.3104963302612305
he 4 7 2 6.191178798675537 6.896044731140137 0
likes 4 8 5 11.408159255981445 6.8918657302856445 0.0041790008544921875
? 4 9 1 2.1207118034362793 3.8668808937072754 3.024984836578369
what 5 0 4 5.72836971282959 2.479736089706421 0
did 5 1 3 4.7149338722229 6.154409408569336 0
she 5 2 3 6.925851345062256 6.328627109527588 0
hear 5 3 4 10.606454849243164 6.725541114807129 0
a 5 4 1 8.922484397888184 3.961637258529663 2.763903856277466
rumour 5 5 6 11.843024253845215 10.109291076660156 0
that 5 6 4 4.281147480010986 2.9251952171325684 7.184095859527588
<unk> 5 7 5 3.182936429977417 6.710668087005615 0
sleeps 5 8 6 17.65086555480957 6.5174880027771 0.19318008422851562
with 5 9 4 5.647247314453125 4.160041809082031 2.3574461936950684
? 5 10 1 3.0556070804595947 7.050477027893066 0
how 6 0 3 12.008362770080566 2.479736089706421 0
did 6 1 3 2.917188882827759 5.876909255981445 0
my 6 2 2 8.7396821975708 6.916021347045898 0
sister 6 3 6 9.872450828552246 8.621527671813965 0
